create_date,zip,at_least_dose,fully_vaccinated
2020-12-16T00:00:00Z,19102,6,NA
2020-12-16T00:00:00Z,19103,24,NA
2020-12-16T00:00:00Z,19104,11,NA
2020-12-16T00:00:00Z,19106,29,NA
2020-12-16T00:00:00Z,19107,31,NA
2020-12-16T00:00:00Z,19111,15,NA
2020-12-16T00:00:00Z,19114,14,NA
2020-12-16T00:00:00Z,19115,13,NA
2020-12-16T00:00:00Z,19116,8,NA
2020-12-16T00:00:00Z,19118,<6,NA
2020-12-16T00:00:00Z,19119,9,NA
2020-12-16T00:00:00Z,19120,<6,NA
2020-12-16T00:00:00Z,19121,<6,NA
2020-12-16T00:00:00Z,19122,6,NA
2020-12-16T00:00:00Z,19123,6,NA
2020-12-16T00:00:00Z,19124,<6,NA
2020-12-16T00:00:00Z,19125,9,NA
2020-12-16T00:00:00Z,19126,<6,NA
2020-12-16T00:00:00Z,19127,<6,NA
2020-12-16T00:00:00Z,19128,9,NA
2020-12-16T00:00:00Z,19129,7,NA
2020-12-16T00:00:00Z,19130,24,NA
2020-12-16T00:00:00Z,19131,6,NA
2020-12-16T00:00:00Z,19132,<6,NA
2020-12-16T00:00:00Z,19134,<6,NA
2020-12-16T00:00:00Z,19135,8,NA
2020-12-16T00:00:00Z,19136,16,NA
2020-12-16T00:00:00Z,19138,<6,NA
2020-12-16T00:00:00Z,19139,<6,NA
2020-12-16T00:00:00Z,19140,<6,NA
2020-12-16T00:00:00Z,19141,<6,NA
2020-12-16T00:00:00Z,19142,<6,NA
2020-12-16T00:00:00Z,19143,<6,NA
2020-12-16T00:00:00Z,19144,<6,NA
2020-12-16T00:00:00Z,19145,9,NA
2020-12-16T00:00:00Z,19146,26,NA
2020-12-16T00:00:00Z,19147,46,NA
2020-12-16T00:00:00Z,19148,10,NA
2020-12-16T00:00:00Z,19149,9,NA
2020-12-16T00:00:00Z,19150,<6,NA
2020-12-16T00:00:00Z,19151,<6,NA
2020-12-16T00:00:00Z,19152,15,NA
2020-12-16T00:00:00Z,19154,16,NA
2020-12-17T00:00:00Z,19102,38,NA
2020-12-17T00:00:00Z,19103,77,NA
2020-12-17T00:00:00Z,19104,42,NA
2020-12-17T00:00:00Z,19106,44,NA
2020-12-17T00:00:00Z,19107,69,NA
2020-12-17T00:00:00Z,19111,52,NA
2020-12-17T00:00:00Z,19114,25,NA
2020-12-17T00:00:00Z,19115,16,NA
2020-12-17T00:00:00Z,19116,19,NA
2020-12-17T00:00:00Z,19118,13,NA
2020-12-17T00:00:00Z,19119,14,NA
2020-12-17T00:00:00Z,19120,<6,NA
2020-12-17T00:00:00Z,19121,11,NA
2020-12-17T00:00:00Z,19122,15,NA
2020-12-17T00:00:00Z,19123,27,NA
2020-12-17T00:00:00Z,19124,10,NA
2020-12-17T00:00:00Z,19125,33,NA
2020-12-17T00:00:00Z,19127,12,NA
2020-12-17T00:00:00Z,19128,37,NA
2020-12-17T00:00:00Z,19129,18,NA
2020-12-17T00:00:00Z,19130,78,NA
2020-12-17T00:00:00Z,19131,12,NA
2020-12-17T00:00:00Z,19132,<6,NA
2020-12-17T00:00:00Z,19133,<6,NA
2020-12-17T00:00:00Z,19134,8,NA
2020-12-17T00:00:00Z,19135,6,NA
2020-12-17T00:00:00Z,19136,23,NA
2020-12-17T00:00:00Z,19137,6,NA
2020-12-17T00:00:00Z,19138,<6,NA
2020-12-17T00:00:00Z,19139,<6,NA
2020-12-17T00:00:00Z,19140,18,NA
2020-12-17T00:00:00Z,19141,<6,NA
2020-12-17T00:00:00Z,19142,<6,NA
2020-12-17T00:00:00Z,19143,20,NA
2020-12-17T00:00:00Z,19144,17,NA
2020-12-17T00:00:00Z,19145,28,NA
2020-12-17T00:00:00Z,19146,100,NA
2020-12-17T00:00:00Z,19147,84,NA
2020-12-17T00:00:00Z,19148,25,NA
2020-12-17T00:00:00Z,19149,20,NA
2020-12-17T00:00:00Z,19150,7,NA
2020-12-17T00:00:00Z,19151,9,NA
2020-12-17T00:00:00Z,19152,17,NA
2020-12-17T00:00:00Z,19153,6,NA
2020-12-17T00:00:00Z,19154,27,NA
2020-12-18T00:00:00Z,19102,23,NA
2020-12-18T00:00:00Z,19103,81,NA
2020-12-18T00:00:00Z,19104,38,NA
2020-12-18T00:00:00Z,19106,26,NA
2020-12-18T00:00:00Z,19107,38,NA
2020-12-18T00:00:00Z,19111,12,NA
2020-12-18T00:00:00Z,19114,14,NA
2020-12-18T00:00:00Z,19115,13,NA
2020-12-18T00:00:00Z,19116,21,NA
2020-12-18T00:00:00Z,19118,18,NA
2020-12-18T00:00:00Z,19119,20,NA
2020-12-18T00:00:00Z,19120,7,NA
2020-12-18T00:00:00Z,19121,9,NA
2020-12-18T00:00:00Z,19122,7,NA
2020-12-18T00:00:00Z,19123,29,NA
2020-12-18T00:00:00Z,19124,6,NA
2020-12-18T00:00:00Z,19125,19,NA
2020-12-18T00:00:00Z,19126,<6,NA
2020-12-18T00:00:00Z,19127,12,NA
2020-12-18T00:00:00Z,19128,42,NA
2020-12-18T00:00:00Z,19129,9,NA
2020-12-18T00:00:00Z,19130,64,NA
2020-12-18T00:00:00Z,19131,13,NA
2020-12-18T00:00:00Z,19132,<6,NA
2020-12-18T00:00:00Z,19133,<6,NA
2020-12-18T00:00:00Z,19134,8,NA
2020-12-18T00:00:00Z,19135,<6,NA
2020-12-18T00:00:00Z,19136,13,NA
2020-12-18T00:00:00Z,19137,<6,NA
2020-12-18T00:00:00Z,19138,<6,NA
2020-12-18T00:00:00Z,19139,7,NA
2020-12-18T00:00:00Z,19140,<6,NA
2020-12-18T00:00:00Z,19141,<6,NA
2020-12-18T00:00:00Z,19142,<6,NA
2020-12-18T00:00:00Z,19143,35,NA
2020-12-18T00:00:00Z,19144,16,NA
2020-12-18T00:00:00Z,19145,14,NA
2020-12-18T00:00:00Z,19146,104,NA
2020-12-18T00:00:00Z,19147,68,NA
2020-12-18T00:00:00Z,19148,24,NA
2020-12-18T00:00:00Z,19149,14,NA
2020-12-18T00:00:00Z,19150,<6,NA
2020-12-18T00:00:00Z,19151,<6,NA
2020-12-18T00:00:00Z,19152,11,NA
2020-12-18T00:00:00Z,19153,<6,NA
2020-12-18T00:00:00Z,19154,23,NA
2020-12-19T00:00:00Z,19102,24,NA
2020-12-19T00:00:00Z,19103,101,NA
2020-12-19T00:00:00Z,19104,53,NA
2020-12-19T00:00:00Z,19106,30,NA
2020-12-19T00:00:00Z,19107,37,NA
2020-12-19T00:00:00Z,19111,57,NA
2020-12-19T00:00:00Z,19114,12,NA
2020-12-19T00:00:00Z,19115,12,NA
2020-12-19T00:00:00Z,19116,9,NA
2020-12-19T00:00:00Z,19118,9,NA
2020-12-19T00:00:00Z,19119,15,NA
2020-12-19T00:00:00Z,19120,7,NA
2020-12-19T00:00:00Z,19121,6,NA
2020-12-19T00:00:00Z,19122,11,NA
2020-12-19T00:00:00Z,19123,24,NA
