the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2626,12342,2021-10-08 16:07:19
NA,2,NA,19125,2351,13749,2021-10-08 16:07:19
NA,3,NA,19144,3710,17445,2021-10-08 16:07:19
NA,4,NA,19152,3593,17634,2021-10-08 16:07:19
NA,5,NA,19153,941,5118,2021-10-08 16:07:19
NA,6,NA,19133,2577,10208,2021-10-08 16:07:19
NA,7,NA,19126,1353,6647,2021-10-08 16:07:19
NA,8,NA,19119,2448,13489,2021-10-08 16:07:19
NA,9,NA,19120,6435,28058,2021-10-08 16:07:19
NA,10,NA,19128,3185,16785,2021-10-08 16:07:19
NA,11,NA,19104,4978,25882,2021-10-08 16:07:19
NA,12,NA,19127,452,2810,2021-10-08 16:07:19
NA,13,NA,19149,7166,27530,2021-10-08 16:07:19
NA,14,NA,19143,4994,27108,2021-10-08 16:07:19
NA,15,NA,19146,3647,24234,2021-10-08 16:07:19
NA,16,NA,19135,2662,13601,2021-10-08 16:07:19
NA,17,NA,19151,2140,11050,2021-10-08 16:07:19
NA,18,NA,19154,2337,14754,2021-10-08 16:07:19
NA,19,NA,19132,3019,12907,2021-10-08 16:07:19
NA,20,NA,19111,5679,29796,2021-10-08 16:07:19
NA,21,NA,19114,2354,14843,2021-10-08 16:07:19
NA,22,NA,19147,4065,23988,2021-10-08 16:07:19
NA,23,NA,19139,3489,16478,2021-10-08 16:07:19
NA,24,NA,19124,5833,27511,2021-10-08 16:07:19
NA,25,NA,19142,2474,10608,2021-10-08 16:07:19
NA,26,NA,19118,752,4643,2021-10-08 16:07:19
NA,27,NA,19122,2076,10559,2021-10-08 16:07:19
NA,28,NA,19123,2335,9755,2021-10-08 16:07:19
NA,29,NA,19130,3668,15848,2021-10-08 16:07:19
NA,30,NA,19116,2319,13741,2021-10-08 16:07:19
NA,31,NA,19129,1181,5341,2021-10-08 16:07:19
NA,32,NA,19140,4778,21125,2021-10-08 16:07:19
NA,33,NA,19134,5211,23400,2021-10-08 16:07:19
NA,34,NA,19145,4412,25141,2021-10-08 16:07:19
NA,35,NA,19121,3260,15556,2021-10-08 16:07:19
NA,36,NA,19107,2048,9895,2021-10-08 16:07:19
NA,37,NA,19150,1753,10552,2021-10-08 16:07:19
NA,38,NA,19131,3129,15974,2021-10-08 16:07:19
NA,39,NA,19102,844,3629,2021-10-08 16:07:19
NA,40,NA,19148,5606,29877,2021-10-08 16:07:19
NA,41,NA,19115,2668,16838,2021-10-08 16:07:19
NA,42,NA,19136,2968,15802,2021-10-08 16:07:19
NA,43,NA,19103,3106,15747,2021-10-08 16:07:19
NA,44,NA,19106,1803,7281,2021-10-08 16:07:19
NA,45,NA,19141,2486,11358,2021-10-08 16:07:19
NA,46,NA,19137,808,3434,2021-10-08 16:07:19
