the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2870,18449,7398,2022-04-05 15:00:02
NA,2,NA,19125,3637,16826,7969,2022-04-05 15:00:02
NA,3,NA,19144,4361,24643,10341,2022-04-05 15:00:02
NA,4,NA,19152,4630,23202,9366,2022-04-05 15:00:02
NA,5,NA,19153,1064,7584,3209,2022-04-05 15:00:02
NA,6,NA,19133,3077,14337,4365,2022-04-05 15:00:02
NA,7,NA,19126,1518,9502,4088,2022-04-05 15:00:02
NA,8,NA,19119,3150,18903,10719,2022-04-05 15:00:02
NA,9,NA,19120,7695,40371,13975,2022-04-05 15:00:02
NA,10,NA,19128,4248,24770,13047,2022-04-05 15:00:02
NA,11,NA,19104,8452,31818,13696,2022-04-05 15:00:02
NA,12,NA,19127,874,3963,1916,2022-04-05 15:00:02
NA,13,NA,19149,9706,37496,11914,2022-04-05 15:00:02
NA,14,NA,19143,6193,38557,15999,2022-04-05 15:00:02
NA,15,NA,19146,6415,30690,14746,2022-04-05 15:00:02
NA,16,NA,19135,3202,18782,6079,2022-04-05 15:00:02
NA,17,NA,19109,10,21,8,2022-04-05 15:00:02
NA,18,NA,19151,2667,17948,7469,2022-04-05 15:00:02
NA,19,NA,19154,2994,20885,9146,2022-04-05 15:00:02
NA,20,NA,19132,3470,18786,6685,2022-04-05 15:00:02
NA,21,NA,19111,6984,40835,16358,2022-04-05 15:00:02
NA,22,NA,19114,2955,19568,8924,2022-04-05 15:00:02
NA,23,NA,19147,6547,30222,15996,2022-04-05 15:00:02
NA,24,NA,19139,4106,24227,9225,2022-04-05 15:00:02
NA,25,NA,19124,7094,38616,12439,2022-04-05 15:00:02
NA,26,NA,19142,3099,16550,5357,2022-04-05 15:00:02
NA,27,NA,19118,1309,6911,4268,2022-04-05 15:00:02
NA,28,NA,19122,2935,13127,4766,2022-04-05 15:00:02
NA,29,NA,19123,3237,12089,5270,2022-04-05 15:00:02
NA,30,NA,19130,5407,20019,9886,2022-04-05 15:00:02
NA,31,NA,19116,3167,19496,8708,2022-04-05 15:00:02
NA,32,NA,19112,23,337,10,2022-04-05 15:00:02
NA,33,NA,19129,1447,7381,3877,2022-04-05 15:00:02
NA,34,NA,19113,13,45,14,2022-04-05 15:00:02
NA,35,NA,19140,5701,29849,9760,2022-04-05 15:00:02
NA,36,NA,19134,6468,32030,10161,2022-04-05 15:00:02
NA,37,NA,19145,5588,31683,13828,2022-04-05 15:00:02
NA,38,NA,19121,4042,20683,6720,2022-04-05 15:00:02
NA,39,NA,19107,3261,11711,5693,2022-04-05 15:00:02
NA,40,NA,19150,2007,14925,7193,2022-04-05 15:00:02
NA,41,NA,19131,3921,23902,9775,2022-04-05 15:00:02
NA,42,NA,19102,1496,4321,2239,2022-04-05 15:00:02
NA,43,NA,19148,7244,37793,15789,2022-04-05 15:00:02
NA,44,NA,19115,3433,22533,10416,2022-04-05 15:00:02
NA,45,NA,19136,3682,21251,8052,2022-04-05 15:00:02
NA,46,NA,19103,5677,18724,10489,2022-04-05 15:00:02
NA,47,NA,19106,2433,8942,5105,2022-04-05 15:00:02
NA,48,NA,19141,2774,16592,6280,2022-04-05 15:00:02
NA,49,NA,19137,828,4517,1685,2022-04-05 15:00:02
