zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
19138,2832,18645,7592,5/4/2022 11:00
19125,3624,16736,8131,5/4/2022 11:00
19144,4310,24844,10679,5/4/2022 11:00
19152,4618,23362,9636,5/4/2022 11:00
19153,1062,7658,3302,5/4/2022 11:00
19133,3096,14458,4533,5/4/2022 11:00
19126,1506,9622,4233,5/4/2022 11:00
19119,3076,19048,10968,5/4/2022 11:00
19120,7567,40874,14442,5/4/2022 11:00
19128,4189,24800,13358,5/4/2022 11:00
19104,8490,31891,14142,5/4/2022 11:00
19127,878,3910,1953,5/4/2022 11:00
19149,9672,37895,12318,5/4/2022 11:00
19143,6154,38772,16453,5/4/2022 11:00
19146,6390,30607,15026,5/4/2022 11:00
19135,3171,18936,6288,5/4/2022 11:00
19109,10,21,8,5/4/2022 11:00
19151,2620,18165,7718,5/4/2022 11:00
19154,2964,21016,9365,5/4/2022 11:00
19132,3468,18985,6918,5/4/2022 11:00
19111,6920,41215,16813,5/4/2022 11:00
19114,2897,19712,9173,5/4/2022 11:00
19147,6486,30218,16277,5/4/2022 11:00
19139,4104,24417,9555,5/4/2022 11:00
19124,7048,38999,12855,5/4/2022 11:00
19142,3081,16767,5562,5/4/2022 11:00
19118,1265,6999,4394,5/4/2022 11:00
19122,2947,13092,4898,5/4/2022 11:00
19123,3214,11974,5389,5/4/2022 11:00
19130,5387,19936,10105,5/4/2022 11:00
19116,3092,19694,8956,5/4/2022 11:00
19112,25,337,10,5/4/2022 11:00
19129,1429,7392,3937,5/4/2022 11:00
19113,14,43,15,5/4/2022 11:00
19140,5672,30124,10104,5/4/2022 11:00
19134,6463,32297,10498,5/4/2022 11:00
19145,5527,31926,14302,5/4/2022 11:00
19121,4007,20724,6958,5/4/2022 11:00
19107,3263,11728,5838,5/4/2022 11:00
19150,1967,15080,7425,5/4/2022 11:00
19131,3902,24131,10144,5/4/2022 11:00
19102,1497,4349,2321,5/4/2022 11:00
19148,7192,37974,16223,5/4/2022 11:00
19115,3393,22741,10686,5/4/2022 11:00
19136,3625,21465,8312,5/4/2022 11:00
19103,5589,18820,10856,5/4/2022 11:00
19106,2372,8872,5211,5/4/2022 11:00
19141,2753,16784,6520,5/4/2022 11:00
19137,826,4552,1736,5/4/2022 11:00
